Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
JUN62,"Sep 5, 2020",8 hours ago,2023-04-06 10:59:25,2023-04-05 07:59:25
Tenka0,"Apr 4, 2023",1 day ago,2023-04-06 11:00:16,2023-04-04 16:00:16
Houzeimata,"Nov 21, 2022",6 days ago,2023-04-06 11:01:47,2023-03-30 16:01:47
jun8575,"Mar 29, 2020",1 hour ago,2023-04-06 11:01:54,2023-04-05 15:01:54
akithepunyone,"Nov 22, 2020",5 days ago,2023-04-06 11:02:01,2023-03-31 16:02:01
march4422,"Dec 27, 2021",2 hours ago,2023-04-06 11:02:08,2023-04-05 14:02:08
31415926535897932324,"Jun 27, 2016",5 hours ago,2023-04-06 11:03:18,2023-04-05 11:03:18
hiroshi09,"Oct 26, 2020","Oct 1, 2021",2023-04-06 11:03:46,2021-10-01 00:00:00
15274257127128525,"Jan 21, 2020","Jul 13, 2021",2023-04-06 11:03:52,2021-07-13 00:00:00
1Mar0,"Oct 22, 2021","Feb 1, 2022",2023-04-06 11:03:59,2022-02-01 00:00:00
ISuck143,"Jun 7, 2020",2 days ago,2023-04-06 11:05:09,2023-04-03 16:05:09
pocketwatcher,"Dec 6, 2019","Dec 25, 2022",2023-04-06 11:05:16,2022-12-25 00:00:00
Zapcort,"Mar 7, 2021",21 hours ago,2023-04-06 11:07:51,2023-04-04 19:07:51
May-11,"Dec 27, 2022",10 days ago,2023-04-06 11:09:01,2023-03-26 16:09:01
LloydSwan21,"Feb 17, 2023",12 hours ago,2023-04-06 11:09:30,2023-04-05 04:09:30
